year,country,region,revenues,exports,gdp,oda,health,education
2009,Mauritania,Africa,191165715,,3027020496,373470000,,
2010,Mauritania,Africa,270018613,631056642,3526947609,374400000,150195417,150195417
2011,Mauritania,Africa,448018317,384521886,4136083638,382210000,152623554,152623554
2012,Mauritania,Africa,472169396,1934203528,3958702640,408310000,,
2006,Mongolia,East Asia and Pacific,411987302,1108544663,3414053251,205140000,,
2007,Mongolia,East Asia and Pacific,640532901,1514942994,4234894168,238680000,198622042,198622042
2008,Mongolia,East Asia and Pacific,587942636,,5623236708,246660000,,
2009,Mongolia,East Asia and Pacific,512525992,,4583834427,371220000,235831406,235831406
2010,Mongolia,East Asia and Pacific,943183886,,6200357070,302760000,333949992,333949992
2011,Mongolia,East Asia and Pacific,1716796513,,8761426371,350600000,479790603,479790603
2012,Mongolia,East Asia and Pacific,1180619495,,10321968595,448780000,,
2013,Mongolia,East Asia and Pacific,1054895582,3790466651,11516409581,,,
2008,Mozambique,Africa,25571803,,11026247458,1996380000,,
2009,Mozambique,Africa,51049678,,10726631100,2012400000,,
2010,Mozambique,Africa,71555872,,10165353591,1951530000,,
2011,Mozambique,Africa,115116240,,13244880035,2084980000,,
2005,Niger,Africa,14928854,188731244,3405134555,522150000,,
2006,Niger,Africa,25063834,192598519,3646727993,544410000,121584099,121584099
2007,Niger,Africa,147175594,366166107,4291363547,544300000,172554441,172554441
2008,Niger,Africa,418740296,422417984,5403364454,612290000,197921458,197921458
2009,Niger,Africa,143129703,610037797,5397121962,469290000,244275359,244275359
2010,Niger,Africa,109503726,706189996,5718589550,744520000,213497250,213497250
2011,Niger,Africa,119279040,875149607,6409169698,649500000,269532504,269532504
2012,Niger,Africa,344759167,1133565646,6611341029,901870000,293257271,293257271
1999,Nigeria,Africa,8073000000,13709817004,35870792988,151800000,,
2000,Nigeria,Africa,15807000000,20900274301,46385996027,173700000,,
2001,Nigeria,Africa,15909000000,17985318527,44138014092,176170000,,
2002,Nigeria,Africa,11875000000,16908361702,59116868250,297930000,,
2003,Nigeria,Africa,17091000000,23526219123,67655840108,308220000,,
2004,Nigeria,Africa,26596000000,,87845403978,576940000,,
