Report ID,Year,Country,Lookup,Region,Sector,Mining,Gas,Oil,Commodity,Total extractive government receipts (US$),"Total Government Revenue, IMF data.","Total Government Revenue, excluding grants, WB data.",Total GDP (US$ nominal),Total Production Value (US$),Health expenditure (US$),Public spending on education (% of GDP) ,ODA (US$)
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,Nickel,62819643,2968738930,..,11926957255,65426557.25,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,o/w Iron-nickel and nickel-silicate ore,62819643,2968738930,..,11926957255,,..,..,340700000
Albania2010,2010,Albania,2010_Albania,Europe and Central Asia,Mining,yes,no,no,o/w Nickel content,62819643,2968738930,..,11926957255,,..,..,340700000
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,"Oil, Mining",yes,no,yes,Total,87672150.57,3353687892,..,12890866743,673969009.5,..,..,350750000
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,Oil,no,no,yes,Oil,87672150.57,3353687892,..,12890866743,456499130,..,..,350750000
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,Mining,yes,no,no,Total Mining,87672150.57,3353687892,..,12890866743,217469879.5,..,..,350750000
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,Mining,yes,no,no,Bitumen,87672150.57,3353687892,..,12890866743,,..,..,350750000
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,Mining,yes,no,no,Chromite,87672150.57,3353687892,..,12890866743,143000000,..,..,350750000
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,Mining,yes,no,no,Copper,87672150.57,3353687892,..,12890866743,,..,..,350750000
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,Mining,yes,no,no,Limestone,87672150.57,3353687892,..,12890866743,,..,..,350750000
Albania2011,2011,Albania,2011_Albania,Europe and Central Asia,Mining,yes,no,no,Nickel,87672150.57,3353687892,..,12890866743,,..,..,350750000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,"Oil, Mining",,,,Total,92136623.82,3209083922,..,12344529628,633200000,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Oil,,,,Oil,92136623.82,3209083922,..,12344529628,484000000,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Mining,,,,Total Mining,92136623.82,3209083922,..,12344529628,149200000,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Mining,,,,Chromium,92136623.82,3209083922,..,12344529628,92000000,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Mining,,,,Copper,92136623.82,3209083922,..,12344529628,,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Mining,,,,Iron-Nickel & Nickel-Silicate,92136623.82,3209083922,..,12344529628,,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Mining,,,,Coal,92136623.82,3209083922,..,12344529628,,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Mining,,,,Limestone,92136623.82,3209083922,..,12344529628,,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Mining,,,,Clay,92136623.82,3209083922,..,12344529628,,..,..,341620000
Albania2012,2012,Albania,2012_Albania,Europe and Central Asia,Mining,,,,Gypsum,92136623.82,3209083922,..,12344529628,,..,..,341620000
Azerbaijan2003,2003,Azerbaijan,2003_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total,622338949.8,..,..,7275766111,3997703028,239092588.1,0.0328615,300700000
Azerbaijan2003,2003,Azerbaijan,2003_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,622338949.8,..,..,7275766111,754864600,239092588.1,0.0328615,300700000
Azerbaijan2003,2003,Azerbaijan,2003_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,622338949.8,..,..,7275766111,3242838428,239092588.1,0.0328615,300700000
Azerbaijan2004,2004,Azerbaijan,2004_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total,1099837402,..,..,8680511918,5093724576,299274537.2,0.0344766,175760000
Azerbaijan2004,2004,Azerbaijan,2004_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,1099837402,..,..,8680511918,821457000,299274537.2,0.0344766,175760000
Azerbaijan2004,2004,Azerbaijan,2004_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,1099837402,..,..,8680511918,4272267576,299274537.2,0.0344766,175760000
Azerbaijan2005,2005,Azerbaijan,2005_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total,1475500562,2810546069,..,13245421881,10226484963,394000968.4,0.0297462,216510000
Azerbaijan2005,2005,Azerbaijan,2005_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,1475500562,2810546069,..,13245421881,1449229600,394000968.4,0.0297462,216510000
Azerbaijan2005,2005,Azerbaijan,2005_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,1475500562,2810546069,..,13245421881,8777255363,394000968.4,0.0297462,216510000
