,Country,ISO,variable,value.GGExp,value.GGRev,value.GGExpCh,value.GGRevCh
2858,Uzbekistan,UZB,X2013,39983.684,43436.671,0.251912184,0.082860456
2859,Venezuela,VEN,X2013,837.948,516.625,0.280502453,0.342507296
2860,Vietnam,VNM,X2013,1031607.451,820954,0.08108956,0.11931076
2861,Yemen,YEM,X2013,2674.693,2075.69,-0.02656916,-0.085032
2862,Zambia,ZMB,X2013,36.313,26.635,0.265922956,0.085326596
3025,Algeria,DZA,X2014,6799.384,5730.954,0.116094157,-0.038034452
3026,Angola,AGO,X2014,4682.4,4322.8,-0.042198182,-0.108431171
3027,Azerbaijan,AZE,X2014,22.304,22.565,0.016961517,-0.008349813
3028,Bahrain,BHR,X2014,3.845,3.113,0.09016161,0.040093552
3029,Bolivia,BOL,X2014,98.584,90.914,0.210837898,0.098061477
3030,Botswana,BWA,X2014,51.263,51.828,0.228444764,0.065477047
3031,Brunei Darussalam,BRN,X2014,7.343,10.035,-0.034069982,-0.038701025
3032,Cameroon,CMR,X2014,3546.163,2743.582,0.10825975,0.046126967
3033,Chad,TCD,X2014,1519.186,1230.108,0.038004488,-0.075824566
3034,Chile,CHL,X2014,35686.682,33603.898,0.098098482,0.054935053
3035,Colombia,COL,X2014,227972.658,217237.388,0.103687638,0.086923445
3036,"Congo, Republic of",COG,X2014,2733.6,2863.6,0.069860279,-0.082973068
3037,Dem. Rep. of Congo,COD,X2014,3766.2,4597.8,NA,0.00210435
3038,Ecuador,ECU,X2014,44.311,39.109,0.064989064,0.049624262
3039,Equatorial Guinea,GNQ,X2014,2982.019,2401.943,-0.089981961,-0.101400494
3040,Gabon,GAB,X2014,2118.482,2369.756,-0.141630717,-0.09613223
3041,Ghana,GHA,X2014,31.937,20.874,0.230475824,0.335508637
3042,Guinea,GIN,X2014,13971.458,11951.134,0.295402312,0.398788144
3043,Guyana,GUY,X2014,216.192,182.857,0.179720284,0.163057098
3044,Indonesia,IDN,X2014,1978869.26,1751469.26,0.085784409,0.07295367
3045,Iran,IRN,X2014,1670958.29,1521868.237,0.180774428,0.147034897
3046,Iraq,IRQ,X2014,112036.601,104385.703,-0.146337096,-0.09558209
3047,Kazakhstan,KAZ,X2014,8686.454,9419.852,0.218139827,0.057065963
3048,Kuwait,KWT,X2014,22.042,34.455,0.177771841,-0.046043524
3049,Libya,LBY,X2014,44.178,21.395,-0.240052982,-0.609309375
3050,Malaysia,MYS,X2014,298.175,258.812,0.031540383,0.054507525
3051,Mali,MLI,X2014,1578.449,1345.169,0.20745764,0.168601494
3052,Mauritania,MRT,X2014,479.104,424.007,0.09699548,0.003179838
3053,Mexico,MEX,X2014,4787.203,3998.686,0.058462833,0.023900309
3054,Mongolia,MNG,X2014,8518.469,6121.616,0.107937156,0.023064687
3055,Myanmar,MMR,X2014,18166.669,15470.992,0.316356706,0.219603951
3056,Namibia,NAM,X2014,56.349,48.721,0.243358341,0.230856681
3057,Nigeria,NGA,X2014,10885.039,8803.153,0.002323891,-0.016342642
3058,Norway,NOR,X2014,1416.823,1693.287,0.065362156,0.014778617
3059,Oman,OMN,X2014,14.594,14.133,0.074035914,-0.028526258
3060,Papua New Guinea,PNG,X2014,14.942,12.513,0.19536,0.284702259
3061,Peru,PER,X2014,129.694,129.016,0.100631386,0.05936643
3062,Qatar,QAT,X2014,244.759,354.16,0.044768665,-0.085089564
3063,Russia,RUS,X2014,27215.951,26371.059,0.076115967,0.078893662
3064,Saudi Arabia,SAU,X2014,1206.245,1193.446,0.138215026,-0.084638878
3065,Sierra Leone,SLE,X2014,3845.425,3115.372,0.152330552,0.101777983
3066,Sudan,SDN,X2014,53.804,49.413,0.297764056,0.440150389
3067,Suriname,SUR,X2014,4.815,3.94,-0.080053496,-0.034786869
3068,Syrian Arab Republic,SYR,X2014,,,,
3069,Tanzania,TZA,X2014,15555.52,12479.404,0.131262004,0.137559374
3070,Timor Leste,TLS,X2014,1.303,2.434,0.205365402,-0.400197141
3071,Trinidad and Tobago ,TTO,X2014,64.274,57.028,0.05863557,-0.004121263
3072,Turkmenistan,TKM,X2014,21.099,22.189,0.119310345,0.088816919
3073,United Arab Emirates,ARE,X2014,447.376,535.717,0.029660129,-0.078477446
3074,Uzbekistan,UZB,X2014,48982.742,51478.493,0.225068255,0.185139004
3075,Venezuela,VEN,X2014,1371.271,906.591,0.636463122,0.754833777
3076,Vietnam,VNM,X2014,1057735,845773,0.025327026,0.030231901
3077,Yemen,YEM,X2014,2580.6,2196.383,-0.035178991,0.058145966
3078,Zambia,ZMB,X2014,40.622,31.446,0.118662738,0.180626995
3241,Algeria,DZA,X2015,7186.061,5069.8,0.056869416,-0.115365435
3242,Angola,AGO,X2015,3614.189,3057.791,-0.228133222,-0.292636486
3243,Azerbaijan,AZE,X2015,22.194,18.599,-0.004931851,-0.175758919
3244,Bahrain,BHR,X2015,3.972,2.808,0.033029909,-0.097976229
3245,Bolivia,BOL,X2015,94.605,83.892,-0.040361519,-0.077237829
3246,Botswana,BWA,X2015,54.153,55.227,0.056375944,0.065582311
3247,Brunei Darussalam,BRN,X2015,7.183,4.802,-0.021789459,-0.521474838
3248,Cameroon,CMR,X2015,3746.617,2738.702,0.056527012,-0.001778697
3249,Chad,TCD,X2015,1226.387,989.144,-0.192734135,-0.195888491
3250,Chile,CHL,X2015,39740.874,36481.797,0.113605182,0.08564182
3251,Colombia,COL,X2015,235144.374,209527.974,0.031458667,-0.035488431
3252,"Congo, Republic of",COG,X2015,2748.664,2344.935,0.005510682,-0.181123411
3253,Dem. Rep. of Congo,COD,X2015,5098.2,5668.8,NA,0.232935532
3254,Ecuador,ECU,X2015,40.391,34.85,-0.088465618,-0.108900765
3255,Equatorial Guinea,GNQ,X2015,2786.251,1789.195,-0.065649481,-0.255105138
3256,Gabon,GAB,X2015,2043.262,1886.679,-0.035506556,-0.203850945
3257,Ghana,GHA,X2015,34.046,25.608,0.066036259,0.226789307
3258,Guinea,GIN,X2015,16807.875,11728.672,0.203015104,-0.018614301
3259,Guyana,GUY,X2015,227.293,195.74,0.051347876,0.070453961
3260,Indonesia,IDN,X2015,2062872.755,1794987.028,0.04245025,0.024846436
3261,Iran,IRN,X2015,1939773.238,1635633.436,0.160874721,0.074753646
3262,Iraq,IRQ,X2015,103218.262,82953.793,-0.078709448,-0.205314611
3263,Kazakhstan,KAZ,X2015,9083.547,7856.739,0.045714051,-0.16593817
3264,Kuwait,KWT,X2015,21.188,23.541,-0.038744216,-0.316760993
3265,Libya,LBY,X2015,44.816,12.87,0.014441577,-0.398457584
3266,Malaysia,MYS,X2015,300.013,260.564,0.006164165,0.006769392
3267,Mali,MLI,X2015,1684.498,1391.9,0.067185573,0.034739873
3268,Mauritania,MRT,X2015,477.847,457.091,-0.002623647,0.078027014
3269,Mexico,MEX,X2015,4727.128,3982.521,-0.012549081,-0.004042578
3270,Mongolia,MNG,X2015,8562.476,6186.232,0.005166069,0.010555383
3271,Myanmar,MMR,X2015,22417.398,17817.071,0.233985053,0.151643734
3272,Namibia,NAM,X2015,62.266,54.412,0.1050063,0.116807947
3273,Nigeria,NGA,X2015,10202.905,8247.785,-0.062667116,-0.063087396
3274,Norway,NOR,X2015,1465.282,1700.882,0.034202579,0.004485359
3275,Oman,OMN,X2015,13.548,9.968,-0.07167329,-0.294700347
3276,Papua New Guinea,PNG,X2015,15.666,13.068,0.048454022,0.044353872
3277,Peru,PER,X2015,138.515,128.107,0.068013941,-0.007045638
3278,Qatar,QAT,X2015,249.888,290.639,0.020955307,-0.179356788
3279,Russia,RUS,X2015,29034.52,26250.596,0.066819969,-0.004568
3280,Saudi Arabia,SAU,X2015,1220.618,874.736,0.01191549,-0.267050206
3281,Sierra Leone,SLE,X2015,4278.374,3178.64,0.112588075,0.020308329
3282,Sudan,SDN,X2015,63.464,55.605,0.179540555,0.125311153
3283,Suriname,SUR,X2015,4.787,3.74,-0.005815161,-0.050761421
3284,Syrian Arab Republic,SYR,X2015,,,,
3285,Tanzania,TZA,X2015,18124.007,14364.153,0.165117399,0.151028767
3286,Timor Leste,TLS,X2015,1.361,1.745,0.044512663,-0.283073131
3287,Trinidad and Tobago ,TTO,X2015,63.1,55.942,-0.018265551,-0.019043277
3288,Turkmenistan,TKM,X2015,23.452,22.583,0.111521873,0.017756546
3289,United Arab Emirates,ARE,X2015,449.311,409.41,0.004325221,-0.235771872
3290,Uzbekistan,UZB,X2015,58638.98,58680.955,0.197135514,0.13991206
3291,Venezuela,VEN,X2015,1976.426,1051.318,0.441309559,0.15963869
3292,Vietnam,VNM,X2015,1195415,911275.046,0.130164928,0.077446367
3293,Yemen,YEM,X2015,2194.163,1695.107,-0.149746958,-0.228227955
3294,Zambia,ZMB,X2015,43.741,34.067,0.076781055,0.083349234
