,Country,ISO,variable,value.GGExp,value.GGRev,value.GGExpCh,value.GGRevCh
460,Mauritania,MRT,X2002,,108.571,,0.534811066
461,Mexico,MEX,X2002,1583.758,1343.536,0.101210752,0.091867169
462,Mongolia,MNG,X2002,550.481,477.049,0.124049987,0.110710386
463,Myanmar,MMR,X2002,853.996,657.267,0.280411413,0.418106852
464,Namibia,NAM,X2002,10.658,10.092,0.127115059,0.150478796
465,Nigeria,NGA,X2002,2196.314,2348.447,-0.1249623,0.044736739
466,Norway,NOR,X2002,714.166,855.059,0.051670059,-0.036807197
467,Oman,OMN,X2002,3.028,3.499,0.065821894,0.003729203
468,Papua New Guinea,PNG,X2002,3.713,3.237,0.074052647,0.048590865
469,Peru,PER,X2002,37.282,34.619,-0.004911119,0.029990182
470,Qatar,QAT,X2002,22.799,29.453,0.11192938,0.294352889
471,Russia,RUS,X2002,3924.392,4002.442,0.301589744,0.212231954
472,Saudi Arabia,SAU,X2002,274.893,262.405,0.011160197,-0.106970872
473,Sierra Leone,SLE,X2002,526.843,400.027,0.27345967,0.321564495
474,Sudan,SDN,X2002,5.034,4.707,0.255048616,0.272162162
475,Suriname,SUR,X2002,0.841,0.654,0.341307815,0.01552795
476,Syrian Arab Republic,SYR,X2002,318.369,295.754,0.126029229,-0.033537353
477,Tanzania,TZA,X2002,1726.152,1633.982,0.261991519,0.235956909
478,Timor Leste,TLS,X2002,0.061,0.034,,0.789473684
479,Trinidad and Tobago ,TTO,X2002,14.885,13.03,-0.079809594,-0.146021759
480,Turkmenistan,TKM,X2002,1.633,1.649,0.073635766,0.048315321
481,United Arab Emirates,ARE,X2002,86.035,92.822,-0.101180527,-0.242034264
482,Uzbekistan,UZB,X2002,2784.878,2644.204,0.586467099,0.566523534
483,Venezuela,VEN,X2002,33.419,31.821,0.177845134,0.310207107
484,Vietnam,VNM,X2002,134334,121716,0.145363857,0.171607885
485,Yemen,YEM,X2002,578.104,567.672,0.140782341,0.02637574
486,Zambia,ZMB,X2002,5.086,4.256,0.230285438,0.304321177
649,Algeria,DZA,X2003,1691.354,1947.437,0.090741536,0.214655046
650,Angola,AGO,X2003,457.154,394.898,1.200468826,1.069305582
651,Azerbaijan,AZE,X2003,2.038,1.912,0.21454112,0.155287009
652,Bahrain,BHR,X2003,1.219,1.146,0.06,0.11587147
653,Bolivia,BOL,X2003,19.803,14.928,0.04938795,0.074730022
654,Botswana,BWA,X2003,16.276,16.191,0.036028008,0.130577474
655,Brunei Darussalam,BRN,X2003,3.91,4.93,-0.185925463,0.155107779
656,Cameroon,CMR,X2003,1219.119,1271,0.023040071,-0.039939571
657,Chad,TCD,X2003,348.1,247.36,0.241883696,0.253471167
658,Chile,CHL,X2003,11774.611,11554.822,0.045309331,0.080164187
659,Colombia,COL,X2003,75813.234,68490.104,0.107765221,0.141264217
660,"Congo, Republic of",COG,X2003,605.308,613.5,0.03909293,0.066188866
661,Dem. Rep. of Congo,COD,X2003,361.8,179.1,NA,0.169462978
662,Ecuador,ECU,X2003,6.587,6.91,0.077363428,0.091627172
