country,iso,year,General government total expenditure,General government revenue
Turkmenistan,TKM,2003,2.299,2.741
United Arab Emirates,ARE,2003,91.561,110.515
Uzbekistan,UZB,2003,3266.18,3288.545
Venezuela,VEN,2003,43.188,43.419
Vietnam,VNM,2003,172885.6,152957
Yemen,YEM,2003,763.054,672.293
Zambia,ZMB,2003,6.337,5.104
Algeria,DZA,2004,1891.769,2215.165
Angola,AGO,2004,586.399,609.686
Azerbaijan,AZE,2004,2.206,2.288
Bahrain,BHR,2004,1.288,1.301
Bolivia,BOL,2004,22.52,18.661
Botswana,BWA,2004,17.383,17.958
Brunei Darussalam,BRN,2004,4.888,6.151
Cameroon,CMR,2004,1331.171,1285.921
Chad,TCD,2004,336.778,273.778
Chile,CHL,2004,12605.227,13843.659
Colombia,COL,2004,81313.885,77422.845
"Congo, Republic of",COG,2004,656.31,745.8
Dem. Rep. of Congo,COD,2004,359.5,288.7
Ecuador,ECU,2004,7.47,8.177
Equatorial Guinea,GNQ,2004,484.924,773.525
Gabon,GAB,2004,855.32,1141.846
Ghana,GHA,2004,2.69,2.294
Guinea,GIN,2004,1464.15,1027.373
Guyana,GUY,2004,77.728,68.268
Indonesia,IDN,2004,445297.685,438800.21
Iran,IRN,2004,297493.48,352606.235
Iraq,IRQ,2004,48683.837,29839.493
Kazakhstan,KAZ,2004,1289.822,1441.123
Kuwait,KWT,2004,5.991,9.882
Libya,LBY,2004,18.245,23.272
Malaysia,MYS,2004,133.642,116.329
Mali,MLI,2004,625.835,557.96
Mauritania,MRT,2004,149.569,130.414
Mexico,MEX,2004,1826.364,1717.979
Mongolia,MNG,2004,752.475,713.113
Myanmar,MMR,2004,1480.696,1062.935
Namibia,NAM,2004,12.22,10.979
Nigeria,NGA,2004,3176.666,4127.32
Norway,NOR,2004,786.945,981.076
Oman,OMN,2004,3.718,4.311
Papua New Guinea,PNG,2004,4.106,4.315
Peru,PER,2004,44.141,41.81
Qatar,QAT,2004,36.103,55.725
Russia,RUS,2004,5405.393,6240.008
Saudi Arabia,SAU,2004,338.895,455.814
Sierra Leone,SLE,2004,708.971,616.343
Sudan,SDN,2004,11.347,11.471
Suriname,SUR,2004,1.127,1.072
Syrian Arab Republic,SYR,2004,396.904,343.923
Tanzania,TZA,2004,2888.269,2475.326
Timor Leste,TLS,2004,0.07,0.178
Trinidad and Tobago ,TTO,2004,20.947,22.381
Turkmenistan,TKM,2004,2.788,2.991
United Arab Emirates,ARE,2004,96.131,143.565
Uzbekistan,UZB,2004,3870.941,3944.687
Venezuela,VEN,2004,67.877,73.131
Vietnam,VNM,2004,192373,190889
Yemen,YEM,2004,875.742,820.564
Zambia,ZMB,2004,6.919,6.173
Algeria,DZA,2005,2052.037,3082.674
Angola,AGO,2005,854.785,1085.844
Azerbaijan,AZE,2005,2.839,3.143
Bahrain,BHR,2005,1.497,1.671
Bolivia,BOL,2005,25.558,23.829
Botswana,BWA,2005,17.632,23.008
Brunei Darussalam,BRN,2005,5.107,7.964
Cameroon,CMR,2005,1278.296,1589.928
Chad,TCD,2005,404.946,402.537
Chile,CHL,2005,13930.21,17057.851
Colombia,COL,2005,87471.638,87424.868
"Congo, Republic of",COG,2005,775.762,1245.7
Dem. Rep. of Congo,COD,2005,621.8,606.9
Ecuador,ECU,2005,8.88,9.146
Equatorial Guinea,GNQ,2005,609.587,1410.189
Gabon,GAB,2005,1036.152,1434.159
Ghana,GHA,2005,3.081,2.633
Guinea,GIN,2005,1807.88,1631.48
Guyana,GUY,2005,97.083,74.707
Indonesia,IDN,2005,526114.278,538894.002
Iran,IRN,2005,450083.998,504380.263
Iraq,IRQ,2005,46477.127,49468.975
Kazakhstan,KAZ,2005,1679.883,2131.724
Kuwait,KWT,2005,6.635,16.852
Libya,LBY,2005,17.994,37.413
Malaysia,MYS,2005,139.711,123.578
Mali,MLI,2005,712.656,621.605
Mauritania,MRT,2005,166.25,141.624
Mexico,MEX,2005,2048.766,1932.63
Mongolia,MNG,2005,764.597,837.858
Myanmar,MMR,2005,2064.628,1669.538
Namibia,NAM,2005,12.906,12.653
Nigeria,NGA,2005,4255.701,5348.64
Norway,NOR,2005,815.523,1111.134
Oman,OMN,2005,4.181,5.712
Papua New Guinea,PNG,2005,4.898,5.307
Peru,PER,2005,49.857,48.791
Qatar,QAT,2005,50.768,66.622
Russia,RUS,2005,6820.645,8579.637
Saudi Arabia,SAU,2005,375.388,637.853
Sierra Leone,SLE,2005,860.246,767.853
Sudan,SDN,2005,16.927,15.331
Suriname,SUR,2005,1.331,1.271
Syrian Arab Republic,SYR,2005,424.456,358.047
Tanzania,TZA,2005,3550.653,2915.485
Timor Leste,TLS,2005,0.094,0.214
Trinidad and Tobago ,TTO,2005,26.56,30.436
Turkmenistan,TKM,2005,3.513,3.657
United Arab Emirates,ARE,2005,104.431,238.715
Uzbekistan,UZB,2005,4701.039,4900.016
Venezuela,VEN,2005,101.961,114.413
Vietnam,VNM,2005,239364,228288.32
Yemen,YEM,2005,1179.739,1121.288
Zambia,ZMB,2005,8.35,7.467
Algeria,DZA,2006,2454.387,3639.91
Angola,AGO,2006,1288.353,1685.031
Azerbaijan,AZE,2006,5.037,5.253
Bahrain,BHR,2006,1.678,1.841
Bolivia,BOL,2006,27.372,31.473
Botswana,BWA,2006,19.737,27.657
Brunei Darussalam,BRN,2006,5.613,9.644
Cameroon,CMR,2006,1365.968,4448.106
Chad,TCD,2006,542.28,628.676
Chile,CHL,2006,15348.976,21459.883
Colombia,COL,2006,108552.222,104744.622
"Congo, Republic of",COG,2006,1123.053,1796
Dem. Rep. of Congo,COD,2006,664.7,789
Ecuador,ECU,2006,9.928,11.263
Equatorial Guinea,GNQ,2006,954.248,2103.73
Gabon,GAB,2006,1122.143,1582.572
Ghana,GHA,2006,4.072,3.192
Guinea,GIN,2006,2871.41,2397.75
Guyana,GUY,2006,110.215,86.793
Indonesia,IDN,2006,671708.925,685237.413
Iran,IRN,2006,564866.156,611469.02
Iraq,IRQ,2006,48108.374,58346.614
Kazakhstan,KAZ,2006,2022.2,2803.917
Kuwait,KWT,2006,9.405,18.804
Libya,LBY,2006,22.493,45.457
Malaysia,MYS,2006,159.865,143.601
Mali,MLI,2006,796.302,1798.667
Mauritania,MRT,2006,199.986,221.564
Mexico,MEX,2006,2408.422,2305.82
Mongolia,MNG,2006,1054.924,1360.41
Myanmar,MMR,2006,3187.294,2484.9
Namibia,NAM,2006,14.285,15.938
Nigeria,NGA,2006,3548.71,6040.813
Norway,NOR,2006,871.42,1270.904
Oman,OMN,2006,4.92,6.922
Papua New Guinea,PNG,2006,5.184,6.288
Peru,PER,2006,54.864,60.673
Qatar,QAT,2006,67.147,87.363
Russia,RUS,2006,8375.228,10625.812
Saudi Arabia,SAU,2006,413.734,757.73
Sierra Leone,SLE,2006,928.861,842.194
Sudan,SDN,2006,18.502,17.451
Suriname,SUR,2006,1.444,1.52
Syrian Arab Republic,SYR,2006,454.638,435.294
Tanzania,TZA,2006,4164.081,3364.107
Timor Leste,TLS,2006,0.115,0.678
Trinidad and Tobago ,TTO,2006,36.033,42.888
Turkmenistan,TKM,2006,3.326,4.495
United Arab Emirates,ARE,2006,127.475,333.814
Uzbekistan,UZB,2006,6025.154,7139.908
Venezuela,VEN,2006,154.681,148.36
Vietnam,VNM,2006,276774,279472
Yemen,YEM,2006,1405.078,1449.679
Zambia,ZMB,2006,9.051,16.825
Algeria,DZA,2007,3114.242,3687.85
Angola,AGO,2007,1908.842,2124.712
Azerbaijan,AZE,2007,7.356,8.007
Bahrain,BHR,2007,1.908,2.038
Bolivia,BOL,2007,33.635,35.428
Botswana,BWA,2007,24.822,28.645
Brunei Darussalam,BRN,2007,5.998,6.632
Cameroon,CMR,2007,1528.323,1985.483
Chad,TCD,2007,709.295,814.26
Chile,CHL,2007,17509.243,24677.878
Colombia,COL,2007,120816.16,117164.066
"Congo, Republic of",COG,2007,1201.487,1579.249
Dem. Rep. of Congo,COD,2007,898,881.2
Ecuador,ECU,2007,12.554,13.451
Equatorial Guinea,GNQ,2007,1233.481,2308.526
Gabon,GAB,2007,1155.853,1636.499
Ghana,GHA,2007,5.299,4.052
Guinea,GIN,2007,2287.2,2620.29
Guyana,GUY,2007,114.641,99.586
Indonesia,IDN,2007,804822.771,764121.451
Iran,IRN,2007,617566.698,828611.023
Iraq,IRQ,2007,51406.137,60137.179
Kazakhstan,KAZ,2007,3045.952,3705.752
Kuwait,KWT,2007,9.809,21.989
Libya,LBY,2007,28.727,53.091
Malaysia,MYS,2007,180.421,162.504
Mali,MLI,2007,838.95,730.254
Mauritania,MRT,2007,220.941,205.41
Mexico,MEX,2007,2657.724,2525.809
Mongolia,MNG,2007,1749.701,1880.489
Myanmar,MMR,2007,4177.072,3301.006
Namibia,NAM,2007,15.926,19.728
Nigeria,NGA,2007,5966.347,5615.145
Norway,NOR,2007,927.514,1326.63
Oman,OMN,2007,5.706,7.654
Papua New Guinea,PNG,2007,5.325,7.008
Peru,PER,2007,59.441,70.145
Qatar,QAT,2007,86.249,119.827
Russia,RUS,2007,11378.578,13368.262
Saudi Arabia,SAU,2007,492.077,726.487
Sierra Leone,SLE,2007,834.713,2129.282
Sudan,SDN,2007,23.468,20.242
Suriname,SUR,2007,1.714,1.891
Syrian Arab Republic,SYR,2007,519.435,459.069
Tanzania,TZA,2007,4846.196,4453.943
Timor Leste,TLS,2007,0.251,1.362
Trinidad and Tobago ,TTO,2007,38.963,43.768
Turkmenistan,TKM,2007,3.629,4.684
United Arab Emirates,ARE,2007,167.224,373.722
Uzbekistan,UZB,2007,8571.106,10030.299
Venezuela,VEN,2007,177.803,163.878
Vietnam,VNM,2007,350479.079,325437.9
Yemen,YEM,2007,1738.512,1429.017
Zambia,ZMB,2007,11.209,10.626
Algeria,DZA,2008,4190.663,5190.617
Angola,AGO,2008,3498.789,3217.433
Azerbaijan,AZE,2008,11.829,19.426
Bahrain,BHR,2008,2.286,2.698
Bolivia,BOL,2008,42.645,46.953
Botswana,BWA,2008,35.15,29.556
Brunei Darussalam,BRN,2008,6.146,14.306
Cameroon,CMR,2008,1980.992,2214.088
Chad,TCD,2008,874.409,1042.561
Chile,CHL,2008,20364.623,24241.035
Colombia,COL,2008,127887.564,126673.508
"Congo, Republic of",COG,2008,1255.619,2497.256
Dem. Rep. of Congo,COD,2008,1358.8,1238.9
Ecuador,ECU,2008,21.762,22.062
Equatorial Guinea,GNQ,2008,1759.331,3051.786
Gabon,GAB,2008,1314.592,2078.129
Ghana,GHA,2008,7.361,4.813
Guinea,GIN,2008,3231.882,3351.789
Guyana,GUY,2008,120.815,105.437
Indonesia,IDN,2008,1050154.508,1053084.642
Iran,IRN,2008,828825.507,851710.199
Iraq,IRQ,2008,89904.108,88560.647
Kazakhstan,KAZ,2008,4345.252,4542.243
Kuwait,KWT,2008,16.009,23.994
Libya,LBY,2008,43.534,72.897
Malaysia,MYS,2008,217.105,189.645
Mali,MLI,2008,828.24,741.5
Mauritania,MRT,2008,245.739,204.551
Mexico,MEX,2008,3178.805,3059.643
Mongolia,MNG,2008,2466.774,2170.37
Myanmar,MMR,2008,4451.548,3677.36
Namibia,NAM,2008,19.67,22.753
Nigeria,NGA,2008,5628.537,7861.634
Norway,NOR,2008,1014.692,1495.59
Oman,OMN,2008,6.867,10.801
Papua New Guinea,PNG,2008,6.498,7.041
Peru,PER,2008,69.594,79.138
Qatar,QAT,2008,99.958,143.736
Russia,RUS,2008,14157.027,16169.099
Saudi Arabia,SAU,2008,564.657,1179.701
Sierra Leone,SLE,2008,1207.332,948.41
Sudan,SDN,2008,26.733,27.378
Suriname,SUR,2008,2.156,2.311
