Country,ISO,Variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Gabon,GAB,GGRev,1207.598,1173.63,1089.899,1095.188,1141.846,1434.159,1582.572,1636.499,2078.129,1685.163,1834.003,2486.186,2638.092,2621.795,2369.756,1886.679
Ghana,GHA,GGRev,0.539,0.953,0.957,1.65,2.294,2.633,3.192,4.052,4.813,6.017,7.694,11.441,13.935,15.63,20.874,25.608
Guinea,GIN,GGRev,719.8,868.21,876.914,952.672,1027.373,1631.48,2397.75,2620.29,3351.789,3662.49,4257.69,6824.141,9046.635,8543.92,11951.134,11728.672
Guyana,GUY,GGRev,56.264,57.22,61.358,57.692,68.268,74.707,86.793,99.586,105.437,118.887,127.571,143.325,153.685,157.221,182.857,195.74
Indonesia,IDN,GGRev,203045.479,317746.293,324027.804,374485.402,438800.21,538894.002,685237.413,764121.451,1053084.642,924686.395,1073832.299,1336271.877,1486152.643,1632381.07,1751469.26,1794987.028
Iran,IRN,GGRev,147295.136,133391.592,211195.76,266641.105,352606.235,504380.263,611469.02,828611.023,851710.199,842755.227,1049659.46,1203714.331,1015802.928,1326784.6,1521868.237,1635633.436
Iraq,IRQ,GGRev,#N/A,#N/A,#N/A,#N/A,29839.493,49468.975,58346.614,60137.179,88560.647,60330.969,73571.55,104563.988,119449.324,115417.554,104385.703,82953.793
Kazakhstan,KAZ,GGRev,568.2,833.9,847.815,1169.189,1441.123,2131.724,2803.917,3705.752,4542.243,3765.851,5223.314,7638.32,8170.301,8911.319,9419.852,7856.739
Kuwait,KWT,GGRev,7.888,7.661,7.093,7.749,9.882,16.852,18.804,21.989,23.994,21.161,23.385,31.026,35.8,36.118,34.455,23.541
Libya,LBY,GGRev,8.175,7.891,12.85,16.614,23.272,37.413,45.457,53.091,72.897,41.786,61.504,16.614,74.714,54.762,21.395,12.87
Malaysia,MYS,GGRev,76.004,91.633,96.763,107.055,116.329,123.578,143.601,162.504,189.645,182.64,184.46,217.488,243.227,245.434,258.812,260.564
Mali,MLI,GGRev,352.282,394.851,456.692,536.528,557.96,621.605,1798.667,730.254,741.5,918.936,935.807,1049.597,925.843,1151.093,1345.169,1391.9
Mauritania,MRT,GGRev,63.803,70.739,108.571,119.684,130.414,141.624,221.564,205.41,204.551,198.434,262.003,324.064,465.611,422.663,424.007,457.091
Mexico,MEX,GGRev,1157.032,1230.494,1343.536,1512.707,1717.979,1932.63,2305.82,2525.809,3059.643,2668.803,3002.406,3437.057,3723.781,3905.347,3998.686,3982.521
Mongolia,MNG,GGRev,351.396,429.499,477.049,553.888,713.113,837.858,1360.41,1880.489,2170.37,1993.996,3122.192,4468.27,4975.892,5983.606,6121.616,6186.232
Myanmar,MMR,GGRev,380.907,463.482,657.267,836.168,1062.935,1669.538,2484.9,3301.006,3677.36,3740.035,4551.171,5200.601,11152.386,12685.259,15470.992,17817.071
Namibia,NAM,GGRev,7.964,8.772,10.092,9.933,10.979,12.653,15.938,19.728,22.753,23.874,23.538,28.282,35.954,39.583,48.721,54.412
Nigeria,NGA,GGRev,1986.949,2247.884,2348.447,2794.767,4127.32,5348.64,6040.813,5615.145,7861.634,4474.352,6889.637,11296.005,10416.044,8949.41,8803.153,8247.785
Norway,NOR,GGRev,858.713,887.734,855.059,878.984,981.076,1111.134,1270.904,1326.63,1495.59,1345.376,1424.775,1569.13,1654.07,1668.627,1693.287,1700.882
Oman,OMN,GGRev,3.713,3.486,3.499,3.792,4.311,5.712,6.922,7.654,10.801,7.058,8.879,12.734,14.352,14.548,14.133,9.968
Papua New Guinea,PNG,GGRev,2.966,3.087,3.237,3.664,4.315,5.307,6.288,7.008,7.041,6.097,8.261,9.28,9.358,9.74,12.513,13.068
Peru,PER,GGRev,34.503,33.611,34.619,37.65,41.81,48.791,60.673,70.145,79.138,72.146,87.632,103.664,112.904,121.786,129.016,128.107
Qatar,QAT,GGRev,24.955,22.755,29.453,30.718,55.725,66.622,87.363,119.827,143.736,181.597,173.867,246.147,317.076,387.098,354.16,290.639
Russia,RUS,GGRev,2642.381,3301.713,4002.442,4804.48,6240.008,8579.637,10625.812,13368.262,16169.099,13599.718,16031.93,20855.368,23435.105,24442.686,26371.059,26250.596
Saudi Arabia,SAU,GGRev,295.236,293.837,262.405,333.007,455.814,637.853,757.73,726.487,1179.701,578.569,822.077,1193.379,1383.135,1303.798,1193.446,874.736
Sierra Leone,SLE,GGRev,257.534,302.692,400.027,467.001,616.343,767.853,842.194,2129.282,948.41,1257.997,1560.742,2170.759,2506.07,2827.586,3115.372,3178.64
Sudan,SDN,GGRev,3.263,3.7,4.707,7.419,11.471,15.331,17.451,20.242,27.378,18.986,29.245,32.357,22.266,34.311,49.413,55.605
Suriname,SUR,GGRev,0.298,0.644,0.654,0.857,1.072,1.271,1.52,1.891,2.311,2.693,2.725,3.853,4.13,4.082,3.94,3.74
Syrian Arab Republic,SYR,GGRev,246.311,306.017,295.754,321.564,343.923,358.047,435.294,459.069,491.205,601.185,582.024,#N/A,#N/A,#N/A,#N/A,#N/A
Tanzania,TZA,GGRev,1147.854,1322.038,1633.982,1997.897,2475.326,2915.485,3364.107,4453.943,5424.305,5918.763,6785.442,8221.254,9623.533,10970.332,12479.404,14364.153
Timor Leste,TLS,GGRev,0.006,0.019,0.034,0.043,0.178,0.214,0.678,1.362,2.561,1.763,2.422,3.568,4.093,4.058,2.434,1.745
Trinidad and Tobago ,TTO,GGRev,13.722,15.258,13.03,17.923,22.381,30.436,42.888,43.768,64.388,41.517,44.537,51.527,52.84,57.264,57.028,55.942
Turkmenistan,TKM,GGRev,1.232,1.573,1.649,2.741,2.991,3.657,4.495,4.684,10.323,11.768,10.17,15.218,21.046,20.379,22.189,22.583
United Arab Emirates,ARE,GGRev,160.033,122.462,92.822,110.515,143.565,238.715,333.814,373.722,486.951,286.053,364.131,482.329,550.034,581.339,535.717,409.41
Uzbekistan,UZB,GGRev,1191.468,1687.944,2644.204,3288.545,3944.687,4900.016,7139.908,10030.299,15357.337,18009.672,22865.398,31294.161,40112.898,43436.671,51478.493,58680.955
Venezuela,VEN,GGRev,26.081,24.287,31.821,43.419,73.131,114.413,148.36,163.878,212.889,173.87,215.722,378.475,384.821,516.625,906.591,1051.318
Vietnam,VNM,GGRev,90749,103888,121716,152957,190889,228288.32,279472,325437.9,429523,462877.9,588234,719403,733446,820954,845773,911275.046
Yemen,YEM,GGRev,588.689,553.084,567.672,672.293,820.564,1121.288,1449.679,1429.017,1973.749,1274.598,1774.415,1772.542,2268.593,2075.69,2196.383,1695.107
Zambia,ZMB,GGRev,2.528,3.263,4.256,5.104,6.173,7.467,16.825,10.626,12.606,12.182,15.198,20.233,24.541,26.635,31.446,34.067
Algeria,DZA,GGExpCh,,0.121299831,0.173817663,0.090741536,0.118493822,0.084718589,0.196073463,0.26884717,0.345644622,0.007228928,0.051859566,0.318395154,0.205807586,-0.136869555,0.116094157,0.056869416
Angola,AGO,GGExpCh,,0.817364348,1.513313413,1.200468826,0.282716546,0.457684955,0.507224624,0.481614123,0.83293798,-0.28255262,0.208680434,0.294500113,0.158169718,0.074729718,-0.042198182,-0.228133222
Azerbaijan,AZE,GGExpCh,,0.009155646,0.691532258,0.21454112,0.082433759,0.286944696,0.774216273,0.460393091,0.608075041,0.016823062,0.118224144,0.291301115,0.138991248,0.108684663,0.016961517,-0.004931851
Bahrain,BHR,GGExpCh,,0.214739517,0.20292887,0.06,0.056603774,0.162267081,0.120908484,0.137067938,0.198113208,-0.032808399,0.248303935,0.088043478,0.138195138,0.031889994,0.09016161,0.033029909
Bolivia,BOL,GGExpCh,,0.129146686,0.097853278,0.04938795,0.137201434,0.134902309,0.07097582,0.228810463,0.267875725,0.022441083,-0.003944773,0.353281142,0.147584775,0.207140421,0.210837898,-0.040361519
Botswana,BWA,GGExpCh,,0.185072816,0.149147831,0.036028008,0.068014254,0.01432434,0.119385209,0.257637939,0.416082507,0.123470839,-0.027171436,0.006533566,0.053480914,0.024401021,0.228444764,0.056375944
Brunei Darussalam,BRN,GGExpCh,,-0.082131224,0.217490494,-0.185925463,0.250127877,0.044803601,0.099079695,0.068590771,0.024674892,-0.017572405,0.119907254,0.023661639,0.065732447,0.030500203,-0.034069982,-0.021789459
Cameroon,CMR,GGExpCh,,0.087885443,0.001510254,0.023040071,0.091912274,-0.039720667,0.068585054,0.118857104,0.296186735,-0.025096517,0.070246821,0.24633057,0.02509265,0.211692658,0.10825975,0.056527012
Chad,TCD,GGExpCh,,0.085137795,0.271201814,0.241883696,-0.032525136,0.202412272,0.339141515,0.307986649,0.232786076,0.209703926,0.218122741,-0.003123785,0.177220127,-0.032105447,0.038004488,-0.192734135
Chile,CHL,GGExpCh,,0.090571021,0.068108203,0.045309331,0.070542967,0.105113775,0.101848142,0.140743396,0.163078438,0.168565458,0.113535956,0.064011535,0.085786132,0.061550327,0.098098482,0.113605182
Colombia,COL,GGExpCh,,0.128603161,0.100398123,0.107765221,0.072555288,0.075728186,0.240999077,0.11297731,0.058530283,0.164931549,0.075161569,0.111434104,0.054745209,0.100025746,0.103687638,0.031458667
"Congo, Republic of",COG,GGExpCh,,-0.140321713,0.161298104,0.03909293,0.084257931,0.182005455,0.447677252,0.069839981,0.04505417,-0.110176734,0.14110531,0.39175941,0.423523445,0.011560236,0.069860279,0.005510682
Dem. Rep. of Congo,ZAR,GGExpCh,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ecuador,ECU,GGExpCh,,0.163231462,0.245213849,0.077363428,0.13405192,0.18875502,0.118018018,0.264504432,0.733471404,-0.052936311,0.170451237,0.2931642,0.134604905,0.175538227,0.064989064,-0.088465618
Equatorial Guinea,GNQ,GGExpCh,,-0.113332296,-0.021305056,0.575792058,0.90312554,0.257077398,0.565400837,0.292620996,0.426313822,0.607157493,-0.109873239,0.099395952,0.454091733,-0.18556465,-0.089981961,-0.065649481
Gabon,GAB,GGExpCh,,0.313009214,-0.070247962,-0.157148649,0.065899008,0.211420287,0.08299072,0.030040735,0.137334938,-0.013598135,0.266345908,0.385561458,0.097839416,-0.011927582,-0.141630717,-0.035506556
